nearest_station_id,nearest_station_name,Date,Time,Vehiculos
1,Albany County HD,04/07/2018,10:00-11:00AM,935
1,Albany County HD,04/08/2018,10:00-11:00AM,574
1,Albany County HD,04/09/2018,10:00-11:00AM,1216
1,Albany County HD,04/10/2018,10:00-11:00AM,1117
1,Albany County HD,04/11/2018,10:00-11:00AM,843
1,Albany County HD,04/12/2018,10:00-11:00AM,773
1,Albany County HD,04/13/2018,10:00-11:00AM,1123
1,Albany County HD,04/14/2018,10:00-11:00AM,1096
1,Albany County HD,04/15/2018,10:00-11:00AM,1255
1,Albany County HD,09/30/2017,10:00-11:00AM,867
1,Albany County HD,10/01/2017,10:00-11:00AM,754
1,Albany County HD,10/02/2017,10:00-11:00AM,840
1,Albany County HD,10/03/2017,10:00-11:00AM,1000
1,Albany County HD,10/04/2017,10:00-11:00AM,1005
1,Albany County HD,10/05/2017,10:00-11:00AM,981
1,Albany County HD,10/06/2017,10:00-11:00AM,997
1,Albany County HD,10/07/2017,10:00-11:00AM,2791
1,Albany County HD,10/08/2017,10:00-11:00AM,1868
1,Albany County HD,10/09/2017,10:00-11:00AM,1132
1,Albany County HD,10/10/2017,10:00-11:00AM,1527
1,Albany County HD,10/11/2017,10:00-11:00AM,1532
1,Albany County HD,10/12/2017,10:00-11:00AM,1592
1,Albany County HD,10/13/2017,10:00-11:00AM,1382
1,Albany County HD,10/14/2017,10:00-11:00AM,1416
1,Albany County HD,10/15/2017,10:00-11:00AM,1281
1,Albany County HD,11/04/2017,10:00-11:00AM,2185
1,Albany County HD,11/05/2017,10:00-11:00AM,1932
1,Albany County HD,11/06/2017,10:00-11:00AM,2488
1,Albany County HD,11/07/2017,10:00-11:00AM,2407
1,Albany County HD,11/08/2017,10:00-11:00AM,1310
1,Albany County HD,11/09/2017,10:00-11:00AM,2856
1,Albany County HD,11/10/2017,10:00-11:00AM,2952
1,Albany County HD,11/11/2017,10:00-11:00AM,2124
1,Albany County HD,11/12/2017,10:00-11:00AM,1992
5,Loudonville,09/09/2017,10:00-11:00AM,1176
5,Loudonville,09/10/2017,10:00-11:00AM,1186
5,Loudonville,09/11/2017,10:00-11:00AM,1097
5,Loudonville,09/12/2017,10:00-11:00AM,1389
5,Loudonville,09/13/2017,10:00-11:00AM,1139
5,Loudonville,09/14/2017,10:00-11:00AM,1299
5,Loudonville,09/15/2017,10:00-11:00AM,1317
5,Loudonville,09/16/2017,10:00-11:00AM,1118
5,Loudonville,09/17/2017,10:00-11:00AM,860
5,Loudonville,09/23/2017,10:00-11:00AM,960
5,Loudonville,09/24/2017,10:00-11:00AM,765
5,Loudonville,09/25/2017,10:00-11:00AM,936
5,Loudonville,09/26/2017,10:00-11:00AM,854
5,Loudonville,09/27/2017,10:00-11:00AM,860
5,Loudonville,09/28/2017,10:00-11:00AM,864
5,Loudonville,09/29/2017,10:00-11:00AM,863
5,Loudonville,09/30/2017,10:00-11:00AM,1009
5,Loudonville,10/01/2017,10:00-11:00AM,790
5,Loudonville,11/11/2017,10:00-11:00AM,609
5,Loudonville,11/12/2017,10:00-11:00AM,445
5,Loudonville,11/13/2017,10:00-11:00AM,444
5,Loudonville,11/14/2017,10:00-11:00AM,549
5,Loudonville,11/15/2017,10:00-11:00AM,441
5,Loudonville,11/16/2017,10:00-11:00AM,508
5,Loudonville,11/17/2017,10:00-11:00AM,485
5,Loudonville,11/18/2017,10:00-11:00AM,555
5,Loudonville,11/19/2017,10:00-11:00AM,411
6,PS 274,03/03/2018,10:00-11:00AM,802
6,PS 274,03/04/2018,10:00-11:00AM,621
6,PS 274,03/05/2018,10:00-11:00AM,763
6,PS 274,03/06/2018,10:00-11:00AM,848
6,PS 274,03/09/2018,10:00-11:00AM,777
6,PS 274,03/10/2018,10:00-11:00AM,744
6,PS 274,03/11/2018,10:00-11:00AM,577
6,PS 274,03/12/2018,10:00-11:00AM,778
6,PS 274,03/13/2018,10:00-11:00AM,714
6,PS 274,03/14/2018,10:00-11:00AM,793
6,PS 274,03/15/2018,10:00-11:00AM,740
6,PS 274,04/07/2018,10:00-11:00AM,1848
6,PS 274,04/08/2018,10:00-11:00AM,1620
6,PS 274,04/09/2018,10:00-11:00AM,1984
6,PS 274,04/10/2018,10:00-11:00AM,1923
6,PS 274,04/11/2018,10:00-11:00AM,1928
6,PS 274,04/12/2018,10:00-11:00AM,1902
6,PS 274,04/13/2018,10:00-11:00AM,1906
6,PS 274,04/14/2018,10:00-11:00AM,2066
6,PS 274,04/15/2018,10:00-11:00AM,1625
6,PS 274,09/09/2017,10:00-11:00AM,2774
6,PS 274,09/10/2017,10:00-11:00AM,2338
6,PS 274,09/11/2017,10:00-11:00AM,2684
6,PS 274,09/12/2017,10:00-11:00AM,2682
6,PS 274,09/13/2017,10:00-11:00AM,2596
6,PS 274,09/14/2017,10:00-11:00AM,2625
6,PS 274,09/15/2017,10:00-11:00AM,2673
6,PS 274,09/16/2017,10:00-11:00AM,2852
6,PS 274,09/17/2017,10:00-11:00AM,2345
6,PS 274,09/23/2017,10:00-11:00AM,4313
6,PS 274,09/24/2017,10:00-11:00AM,3669
6,PS 274,09/25/2017,10:00-11:00AM,3938
6,PS 274,09/26/2017,10:00-11:00AM,3967
6,PS 274,09/27/2017,10:00-11:00AM,3765
6,PS 274,09/28/2017,10:00-11:00AM,4009
6,PS 274,09/29/2017,10:00-11:00AM,4288
6,PS 274,09/30/2017,10:00-11:00AM,6041
6,PS 274,10/01/2017,10:00-11:00AM,5248
6,PS 274,10/02/2017,10:00-11:00AM,1912
6,PS 274,10/03/2017,10:00-11:00AM,1903
6,PS 274,10/04/2017,10:00-11:00AM,1802
6,PS 274,10/05/2017,10:00-11:00AM,1867
6,PS 274,10/06/2017,10:00-11:00AM,1952
6,PS 274,10/07/2017,10:00-11:00AM,2881
6,PS 274,10/08/2017,10:00-11:00AM,2020
6,PS 274,10/09/2017,10:00-11:00AM,812
6,PS 274,10/10/2017,10:00-11:00AM,1030
6,PS 274,10/11/2017,10:00-11:00AM,878
